Número do processo;Número da licença;Tipo da licença;Situação;Data do protocolo;Data de emissão;Data de vencimento da licença;Texto da licença;Extrato da licença;Órgão responsável;Código da tipologia;Descrição da tipologia;Potencial poluidor;Porte do empreendimento;Nome do empreendedor;CPF/CNPJ do empreendedor;Logradouro do empreendedor;Número do endereço do empreendedor;Distrito do empreendedor;Município do empreendedor;CEP do empreendedor;UF do empreendedor;Nome do empreendimento;Classe do empreendimento;CPF/CNPJ do empreendimento;Logradouro do empreendimento;Número do endereço do empreendimento;Distrito do empreendimento;Município do empreendimento;CEP do empreendimento;UF do empreendimento;Outros municípios;Bacia hidrográfica;Rio;Latitude;Longitude
120023506;12002650;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2007-03-29;2016-06-14;2018-06-14;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22110600169;"FARMOQUÍMICOS PARA MEDICAMENTOS VETERINÁRIOS; FABRICAÇÃO DE";3;N;;;;;;;;;BIO NUTRIENTES DO BRASIL LTDA;;04.816.602/0002-53;ESTRADA MUNICIPAL BAIRRO TIMBURI;S/Nº ;;TACIBA;19590000;SP;;43;;7522805;471106
120045408;12001825;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-02-26;2012-03-30;2015-03-31;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21066000002;"ALIMENTOS PREPARADOS PARA GATOS, CACHORROS E OUTROS ANIMAIS; FABRICAÇÃ";3;N;;;;;;;;;FOSFERPET IND. COM. IMPORTAÇÃO E EXPORTAÇÃO DE RAÇÃO ANIMAL LTDA;;09.170.450/0001-05;RODOVIA  RAPOSO TAVARES - SP 270;S/Nº ;;PRESIDENTE PRUDENTE;19053205;SP;;41;;7547856;460775
120005708;56000044;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-07-14;2011-03-02;2013-03-02;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;USINA CONQUISTA DO PONTAL S.A. - EM RECUPERAÇÃO JUDICIAL;;07.298.800/0001-80;RODOVIA EUCLIDES DE O. FIGUEIREDO - SP 563;S/Nº ;;MIRANTE DO PARANAPANEMA;19260000;SP;;43;;7522544;386266
120045508;12001805;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-09-21;2012-02-03;2014-02-03;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.20163600012;MILHO REALIZADO SOB CONTRATO, BENEFICIAMENTO DE;3;N;;;;;;;;;JOLUMA COMÉRCIO E REPRESENTAÇÕES DE CEREAIS LTDA;;74.631.011/0001-06;RODOVIA BRIGADEIRO EDUARDO GOMES - SP 457;S/Nº ;;IEPÊ;19640000;SP;;43;;;
120045408;12001826;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2011-07-13;2012-03-30;2015-03-31;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21066000002;"ALIMENTOS PREPARADOS PARA GATOS, CACHORROS E OUTROS ANIMAIS; FABRICAÇÃ";3;N;;;;;;;;;FOSFERPET IND. COM. IMPORTAÇÃO E EXPORTAÇÃO DE RAÇÃO ANIMAL LTDA;;09.170.450/0001-05;RODOVIA  RAPOSO TAVARES - SP 270;S/Nº ;;PRESIDENTE PRUDENTE;19053205;SP;;41;;7547856;460775
120035412;12002205;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2013-06-06;2014-02-14;2018-02-14;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.20210108001;"CARVÃO VEGETAL (FLORESTAS PLANTADAS); PRODUÇÃO DE";3;S;;;;;;;;;"LEITE INDÚSTRIA E COMÉRCIO LTDA - ""ME""";;00.225.192/0001-34;RUA MUNICIPAL IND 214;S/Nº ;;INDIANA;19560000;SP;;31;;7556618;475989
120017613;12002132;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2013-08-23;2013-09-20;2017-09-20;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.20210108001;"CARVÃO VEGETAL (FLORESTAS PLANTADAS); PRODUÇÃO DE";3;S;;;;;;;;;"ALAIS GOMES DA SILVA 15886938800 - "" MEI""";;14.931.104/0001-24;ESTRADA MUNICIPAL RHR 020;S/Nº ;;RANCHARIA;19600000;SP;;43;;7541855;514195
130023000;13000657;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2002-04-25;2003-03-27;2006-03-27;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21052000030;"PRODUTOS DERIVADOS DO LEITE; FABRICAÇÃO DE";3;N;;;;;;;;;NESTLE BRASIL LTDA;;60.409.075/0029-53;RODOVIA MARECHAL RONDON;531  ;;ARAÇATUBA;16021530;SP;;22;;7651220;558000
130027400;13001143;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2002-07-29;2006-07-19;2008-07-19;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;VITERRA BIOENERGIA S.A;;68.316.801/0025-71;ESTRADA VICINAL ANGELO ZANCANER;KM 29;;GUARARAPES;16700000;SP;;32;;7627120;521361
130022502;13001139;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2004-07-21;2006-06-13;2008-06-13;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;PIONEIROS BIOENERGIA S/A;;51.096.477/0001-53;ESTRADA VICINAL CELSO T. JUNQUEIRA FRANCO;S/N  ;;SUD MENNUCCI;15360000;SP;;22;;7707608;504026
130057007;13001492;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-01-25;2008-02-01;2010-02-01;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400004;"ÁLCOOL ETÍLICO DE CANA-DE-AÇÚCAR, ANIDRO; FABRICAÇÃO DE";3;N;;;;;;;;;ACUCAREIRA VIRGOLINO DE OLIVEIRA S.A. EM RECUPERACAO JUDICIAL;;07.024.792/0001-83;FAZENDA CANOAS;S/N  ;;JOSÉ BONIFÁCIO;15200000;SP;;22;;7667936;612427
130034006;13001657;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-02-12;2009-04-17;2011-04-17;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400005;"ÁLCOOL ETÍLICO DE CANA-DE-AÇÚCAR, HIDRATADO; FABRICAÇÃO DE";3;N;;;;;;;;;PEDRA AGROINDUSTRIAL S/A - USINA IPÊ;;71.304.687/0028-17;RODOVIA GAL. EUCLIDES DE OLIVEIRA FIGUEIREDO;S/Nº ;;NOVA INDEPENDÊNCIA;16940000;SP;;32;;7659500;451261
130034006;13001658;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-04-17;2009-04-17;2011-04-17;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400005;"ÁLCOOL ETÍLICO DE CANA-DE-AÇÚCAR, HIDRATADO; FABRICAÇÃO DE";3;N;;;;;;;;;PEDRA AGROINDUSTRIAL S/A - USINA IPÊ;;71.304.687/0028-17;RODOVIA GAL. EUCLIDES DE OLIVEIRA FIGUEIREDO;S/Nº ;;NOVA INDEPENDÊNCIA;16940000;SP;;32;;7659500;451261
130016509;13002799;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-12-01;2016-07-21;2021-07-21;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24731800004;"COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS; COMÉRCIO VAREJISTA";;N;;;;;;;;;CARAMURU CENTRO DE ABASTECIMENTO LTDA;;03.307.996/0003-32;RODOVIA MARECHAL RONDON (SP-300);S/N  ;;GUARARAPES;16700000;SP;;22;;7193090;504059
130005107;13002883;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-12-04;2017-02-23;2020-02-23;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.20810006003;"AREIA; EXTRAÇÃO DE";3;N;;;;;;;;;LAINE & BASSI LTDA - EPP.;;02.103.860/0002-67;RODOVIA ELIEZER MONTENEGRO MAGALHÃES - KM-64;     ;;SANTO ANTÔNIO DO ARACANGUÁ;16130000;SP;;22;;7674499;556584
130016609;13001864;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2010-07-30;2010-10-15;2014-10-15;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24681801008;BASES DE ARMAZENAMENTO DE COMBUSTÍVEIS;3;N;;;;;;;;;RAÍZEN S.A - BASE DE COMBUSTÍVEIS;;33.453.598/0077-21;ESTRADA JOÃO CAZERTA;S/N  ;;ARAÇATUBA;16026040;SP;;22;;7654328;545600
130019010;14005917;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2011-04-18;2014-01-10;2017-01-10;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21011201001;"BOVINOS; ABATE DE";3;N;;;;;;;;;MINERVA S.A.;;67.620.377/0003-86;AVENIDA BRAULINO BASÍLIO MAIA;665  ;;JOSÉ BONIFÁCIO;15200000;SP;;22;;7654345;62860
130042810;13002168;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2012-09-05;2012-10-25;2013-04-25;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.23011302002;BARCAÇAS OU CHATAS, CONSTRUÇÃO DE;3;N;;;;;;;;;ESTALEIRO RIO TIETE LTDA;;12.858.465/0001-67;VIA DE ACESSO AO PARQUE PORTUÁRIO;S/N  ;;ARAÇATUBA;16100000;SP;;22;;7672709;552985
130020813;13002360;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2013-10-23;2013-12-06;2018-12-06;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24731800007;"DERIVADOS DO PETRÓLEO; COMÉRCIO VAREJISTA";;N;;;;;;;;;ORION AVIATION ARAÇATUBA LTDA;;34.185.646/0001-02;RODOVIA OLEGÁRIO FERRAZ;S/N  ;;ARAÇATUBA;16052800;SP;;22;;7662733;559764
140007701;14003029;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2001-04-18;2007-07-24;2011-07-24;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.23230200016;"EQUIPAMENTOS PARA MUSCULAÇÃO; FABRICAÇÃO DE";3;S;;;;;;;;;PHYSICUS INDUSTRIA DE APARELHOS ESPORTIVOS EIRELI;;67.775.197/0001-01;RODOVIA FELICIANO SALLES DA CUNHA;S/N  ;;AURIFLAMA;15350000;SP;;82;;7190000;503316
140019200;14001171;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2001-10-09;2003-01-08;2007-01-08;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22731700022;"QUADROS DE COMANDO OU DISTRIBUIÇÃO DE ENERGIA ELÉTRICA; FABRICAÇÃO DE";3;N;;;;;;;;;RIO-TECH ENGENHARIA, ELETROMETALURGIA E PROJETOS LTDA;;01.323.399/0001-04;RUA IZIDORO PUPIM;2039 ;;SÃO JOSÉ DO RIO PRETO;15035260;SP;;81;;7698103;664633
140007003;14002641;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2004-02-20;2006-08-30;2008-08-30;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;COFCO INTERNATIONAL BRASIL S.A.;;06.315.338/0151-40;RODOVIA VICINAL JOSÉ FERNANDES;S/N  ;;CATANDUVA;15800970;SP;;81;;7665690;709948
140092804;14002188;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2005-03-29;2005-11-30;2007-11-30;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22061400004;"DETERGENTES PARA USO INSTITUCIONAL E DOMÉSTICO; FABRICAÇÃO DE";3;N;;;;;;;;;MUSTANG PLURON QUÍMICA LTDA;;47.078.704/0001-40;AVENIDA CONDE FRANCISCO MATARAZZO;640  ;;CATANDUVA;15803145;SP;;81;;7662438;708894
140041804;14002252;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2005-05-11;2005-12-15;2007-12-15;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22062200023;"PRODUTOS DE LIMPEZA E POLIMENTO; FABRICAÇÃO DE";3;N;;;;;;;;;SANCHES QUIMICA LTDA;;53.206.157/0001-34;RUA MELCHIDES CARDOSO DE OLIVEIRA;300  ;;SÃO JOSÉ DO RIO PRETO;15104000;SP;;81;;7691400;674200
140048906;14003319;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2006-12-11;2008-03-29;2012-03-29;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22511000011;"ESTRUTURAS METÁLICAS, N.E.; FABRICAÇÃO DE";0;N;;;;;;;;;DISTON  PARTICIPACÕES E CONSTRUÇÕES LTDA;;19.009.381/0003-60;RODOVIA EUCLIDES DA CUNHA SP 320;     ;;MIRASSOL;15138899;SP;;82;;7700047;652580
140048906;14003718;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2006-12-11;2009-06-05;2013-06-05;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22511000011;"ESTRUTURAS METÁLICAS, N.E.; FABRICAÇÃO DE";0;N;;;;;;;;;DISTON  PARTICIPACÕES E CONSTRUÇÕES LTDA;;19.009.381/0003-60;RODOVIA EUCLIDES DA CUNHA SP 320;     ;;MIRASSOL;15138899;SP;;82;;7700047;652580
140024806;14003499;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2007-08-14;2008-07-30;2010-07-30;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;GUARIROBA BIOENERGIA LTDA;;07.398.533/0001-12;FAZENDA GUARIROBA;S/Nº ;;PONTES GESTAL;15560000;SP;;81;;7775294;629632
140031306;62000497;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-06-13;2014-04-25;2016-04-25;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;VALE DO PARANÁ S/A - ÁLCOOL E AÇÚCAR;;05.938.884/0001-43;RODOVIA SP-595;S/N.º;;SUZANÁPOLIS;15380000;SP;;82;;7745304;496534
140031306;62000496;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-06-13;2014-04-25;2016-04-25;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;VALE DO PARANÁ S/A - ÁLCOOL E AÇÚCAR;;05.938.884/0001-43;RODOVIA SP-595;S/N.º;;SUZANÁPOLIS;15380000;SP;;82;;7745304;496534
140011303;14003968;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-07-14;2009-12-19;2014-12-19;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.23821100001;"ATERROS SANITÁRIOS; GESTÃO DE";3;N;;;;;;;;;CONSTROESTE CONSTRUTORA E PARTICIPAÇÕES LTDA.;;06.291.846/0016-90;ESTRADA VICINAL ANTONIO GONÇALVES DO CARMO;S/Nº ;;ONDA VERDE;15450000;SP;;81;;7718856;673277
140011303;14005318;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-07-14;2013-06-04;2018-06-04;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.23821100001;"ATERROS SANITÁRIOS; GESTÃO DE";3;N;;;;;;;;;CONSTROESTE CONSTRUTORA E PARTICIPAÇÕES LTDA.;;06.291.846/0016-90;ESTRADA VICINAL ANTONIO GONÇALVES DO CARMO;S/Nº ;;ONDA VERDE;15450000;SP;;81;;7718856;673277
140011303;14006366;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-07-14;2014-12-24;2019-12-24;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.23821100001;"ATERROS SANITÁRIOS; GESTÃO DE";3;N;;;;;;;;;CONSTROESTE CONSTRUTORA E PARTICIPAÇÕES LTDA.;;06.291.846/0016-90;ESTRADA VICINAL ANTONIO GONÇALVES DO CARMO;S/Nº ;;ONDA VERDE;15450000;SP;;81;;7718856;673277
140011303;14005875;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-07-14;2013-12-11;2018-12-11;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.23821100001;"ATERROS SANITÁRIOS; GESTÃO DE";3;N;;;;;;;;;CONSTROESTE CONSTRUTORA E PARTICIPAÇÕES LTDA.;;06.291.846/0016-90;ESTRADA VICINAL ANTONIO GONÇALVES DO CARMO;S/Nº ;;ONDA VERDE;15450000;SP;;81;;7718856;673277
140064103;14003516;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-07-18;2008-08-10;2010-08-10;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;COFCO INTERNATIONAL BRASIL S.A.;;06.315.338/0023-24;ESTRADA VICINAL STS 050 ANTÔNIO ABREU DO VALE;S/Nº ;;SEBASTIANÓPOLIS DO SUL;15180000;SP;;82;;7723615;608998
140064103;51000005;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-08-01;2008-12-04;2010-12-04;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;COFCO INTERNATIONAL BRASIL S.A.;;06.315.338/0023-24;ESTRADA VICINAL STS 050 ANTÔNIO ABREU DO VALE;S/Nº ;;SEBASTIANÓPOLIS DO SUL;15180000;SP;;82;;7723615;608998
140084705;14004033;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-12-03;2010-02-10;2012-11-01;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21033301007;"SUCO CONCENTRADO DE LARANJA; PRODUÇÃO DE";3;N;;;;;;;;;CITROSUCO S/A AGROINDÚSTRIA;;33.010.786/0116-26;RODOVIA COMENDADOR PEDRO MONTELEONE-SP 351;S/N  ;;CATANDUVA;15800970;SP;;81;;7665000;716130
140069909;14004026;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-09-21;2010-01-25;2014-10-07;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24731800004;"COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS; COMÉRCIO VAREJISTA";;N;;;;;;;;;CENTRO AUTOMOTIVO CALCUTA LTDA.;;02.099.863/0001-93;RUA DOZE DE OUTUBRO;1360 ;;CATANDUVA;15805065;SP;;81;;7663352;711339
140069909;14003931;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-09-21;2009-10-07;2014-10-05;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24731800004;"COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS; COMÉRCIO VAREJISTA";;N;;;;;;;;;CENTRO AUTOMOTIVO CALCUTA LTDA.;;02.099.863/0001-93;RUA DOZE DE OUTUBRO;1360 ;;CATANDUVA;15805065;SP;;81;;7663352;711339
140096409;14004800;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-12-29;2012-01-13;2015-07-12;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24731800004;"COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS; COMÉRCIO VAREJISTA";0;N;;;;;;;;;AUTO POSTO METRÓPOLE DE ARIRANHA LTDA.;;03.931.101/0001-74;RUA MARIA JOSEFA AYUSSO;800  ;;ARIRANHA;15960000;SP;;81;;;
140096409;14004196;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2009-12-29;2010-07-12;2015-06-16;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24731800004;"COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS; COMÉRCIO VAREJISTA";0;N;;;;;;;;;AUTO POSTO METRÓPOLE DE ARIRANHA LTDA.;;03.931.101/0001-74;RUA MARIA JOSEFA AYUSSO;800  ;;ARIRANHA;15960000;SP;;81;;;
140047202;14004202;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2010-05-21;2010-06-25;2013-06-25;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.25822101001;"JORNAIS DIÁRIOS; EDIÇÃO INTEGRADA À IMPRESSÃO DE";3;N;;;;;;;;;EMPRESA DE PUBLICIDADE RIO PRETO S.A;;59.963.488/0001-03;AVENIDA JOÃO BATISTA VETORAZZO;50   ;;SÃO JOSÉ DO RIO PRETO;15035470;SP;;81;;7697916;664985
140047202;14006054;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2010-05-21;2014-05-07;2017-05-07;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.25822101001;"JORNAIS DIÁRIOS; EDIÇÃO INTEGRADA À IMPRESSÃO DE";3;N;;;;;;;;;EMPRESA DE PUBLICIDADE RIO PRETO S.A;;59.963.488/0001-03;AVENIDA JOÃO BATISTA VETORAZZO;50   ;;SÃO JOSÉ DO RIO PRETO;15035470;SP;;81;;7697916;664985
140050904;14004693;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2010-06-21;2011-10-17;2013-06-17;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21041400009;"ÓLEO DE AMENDOIM EM BRUTO; PRODUÇÃO DE";3;N;;;;;;;;;BRUMAU COMÉRCIO DE ÓLEOS VEGETAIS LTDA.;;55.249.627/0001-72;AVENIDA DONA ENGRÁCIA;630  ;;CATANDUVA;15802200;SP;;81;;7661300;708143
140050904;14004500;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2010-06-21;2011-06-17;2013-06-17;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21041400009;"ÓLEO DE AMENDOIM EM BRUTO; PRODUÇÃO DE";3;N;;;;;;;;;BRUMAU COMÉRCIO DE ÓLEOS VEGETAIS LTDA.;;55.249.627/0001-72;AVENIDA DONA ENGRÁCIA;630  ;;CATANDUVA;15802200;SP;;81;;7661300;708143
